No,Gender,Education,Working Status,Marriage Style,Status of Having a Child,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21
85,1,4,2,2,1,0,2,0,0,1,1,1,3,0,0,0,1,1,1,0,1,1,0,0,1,1
75,1,4,2,2,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0
347,1,2,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
144,1,4,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60,1,3,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
117,1,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,1,4,2,2,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0
83,1,3,2,2,1,0,0,2,0,0,3,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0
51,1,4,2,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,4,2,2,2,0,0,1,1,1,1,2,1,0,0,1,2,2,1,2,1,1,0,0,1,0
389,1,4,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1,4,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1
277,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
14,1,4,2,2,1,2,1,2,1,2,1,1,2,0,2,2,2,2,1,1,2,1,1,1,1,1
126,1,4,2,2,1,0,1,2,1,1,0,1,3,0,0,2,2,2,1,2,0,2,0,0,1,1
360,1,3,2,2,1,0,2,0,1,1,2,1,0,0,0,3,2,1,1,0,1,2,0,0,0,2
54,1,4,2,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
156,1,4,2,2,1,0,0,0,1,1,1,1,0,0,3,2,0,0,1,0,3,1,0,0,0,0
187,1,3,2,2,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1
9,1,2,2,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,1,3,2,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
68,1,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
124,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
248,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
241,1,3,2,2,2,2,2,3,3,2,0,2,1,0,0,0,0,0,1,0,0,0,2,1,2,1
432,1,1,2,2,2,1,0,2,0,1,1,1,2,1,3,1,3,0,0,2,0,3,1,1,0,0
308,1,3,2,2,2,0,2,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,2
185,1,3,2,2,2,1,0,0,1,1,3,1,1,0,0,2,1,0,0,0,2,1,0,0,1,0
52,1,4,2,2,2,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0
278,1,3,2,2,2,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
184,1,2,2,2,2,0,2,0,1,1,3,0,2,0,3,1,1,2,1,0,1,2,3,0,2,1
271,1,3,2,2,2,2,0,0,2,1,1,0,1,0,3,0,1,1,1,1,1,1,0,0,2,1
148,1,4,2,2,2,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0
48,1,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,1,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
176,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
339,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,3,2,2,1,0,0,0,0,1,0,1,1,0,0,3,1,1,0,2,1,1,1,2,1,1
21,1,3,2,2,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,0
103,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
193,1,3,2,2,1,0,0,0,1,1,0,1,1,0,3,2,1,1,0,2,1,2,0,1,0,1
33,1,3,2,2,1,3,1,2,1,2,1,3,2,1,3,2,1,1,1,1,0,3,0,0,2,3
